time_s,tick_ms_mapped
2.133333,890196154
5.033333,890196562
5.6,890196642
6.2,890196727
6.8,890196811
7.866667,890196961
8.1,890196994
8.466667,890197045
8.566667,890197060
8.933333,890197111
9.166667,890197144
9.366667,890197172
9.666667,890197214
9.966667,890197257
10.066667,890197271
10.166667,890197285
10.266667,890197299
10.7,890197360
10.866667,890197383
11.0,890197402
11.3,890197444
11.766667,890197510
12.3,890197585
12.8,890197655
12.966667,890197679
13.266667,890197721
13.4,890197740
14.533333,890197899
14.766667,890197932
15.9,890198091
16.366667,890198157
16.766667,890198213
17.4,890198302
17.7,890198345
17.833333,890198363
20.533333,890198743
30.7,890200174
33.033333,890200502
34.1,890200652
34.8,890200751
35.566667,890200859
35.866667,890200901
36.5,890200990
36.6,890201004
36.766667,890201027
37.3,890201102
37.533333,890201135
37.833333,890201177
37.9,890201187
38.0,890201201
38.4,890201257
38.966667,890201337
39.166667,890201365
39.4,890201398
39.466667,890201407
39.633333,890201431
39.866667,890201464
40.3,890201525
40.466667,890201548
41.233333,890201656
41.5,890201693
41.666667,890201717
41.966667,890201759
42.4,890201820
42.533333,890201839
42.733333,890201867
42.866667,890201886
42.933333,890201895
43.0,890201904
43.133333,890201923
43.3,890201947
43.566667,890201984
44.2,890202073
44.366667,890202097
45.1,890202200
45.666667,890202280
47.2,890202495
47.633333,890202556
48.066667,890202617
49.866667,890202871
60.133333,890204315
64.8,890204972
65.066667,890205009
66.233333,890205173
68.333333,890205469
68.633333,890205511
68.766667,890205530
68.966667,890205558
69.2,890205591
69.766667,890205671
70.233333,890205736
70.733333,890205807
70.866667,890205825
71.166667,890205868
71.266667,890205882
71.333333,890205891
72.4,890206041
72.466667,890206050
72.666667,890206079
72.8,890206097
72.966667,890206121
74.233333,890206299
74.3,890206308
74.466667,890206332
74.8,890206379
74.866667,890206388
76.833333,890206665
79.0,890206970
81.133333,890207270
85.0,890207814
91.333333,890208705
92.266667,890208836
92.666667,890208893
92.966667,890208935
93.266667,890208977
93.566667,890209019
93.633333,890209029
93.9,890209066
94.233333,890209113
94.333333,890209127
94.5,890209151
94.8,890209193
