frame,time_s
63,2.1
66,2.2
117,3.9
126,4.2
133,4.433333
136,4.533333
144,4.8
149,4.966667
151,5.033333
155,5.166667
160,5.333333
164,5.466667
167,5.566667
169,5.633333
173,5.766667
178,5.933333
180,6.0
182,6.066667
186,6.2
188,6.266667
192,6.4
195,6.5
200,6.666667
204,6.8
210,7.0
213,7.1
218,7.266667
222,7.4
232,7.733333
236,7.866667
238,7.933333
241,8.033333
243,8.1
245,8.166667
248,8.266667
250,8.333333
254,8.466667
256,8.533333
258,8.6
263,8.766667
267,8.9
271,9.033333
276,9.2
281,9.366667
286,9.533333
290,9.666667
294,9.8
296,9.866667
298,9.933333
301,10.033333
304,10.133333
306,10.2
308,10.266667
314,10.466667
317,10.566667
319,10.633333
322,10.733333
326,10.866667
330,11.0
334,11.133333
337,11.233333
340,11.333333
344,11.466667
350,11.666667
354,11.8
362,12.066667
366,12.2
368,12.266667
370,12.333333
375,12.5
380,12.666667
384,12.8
390,13.0
398,13.266667
400,13.333333
403,13.433333
407,13.566667
411,13.7
415,13.833333
420,14.0
423,14.1
431,14.366667
436,14.533333
438,14.6
441,14.7
443,14.766667
446,14.866667
449,14.966667
454,15.133333
459,15.3
467,15.566667
472,15.733333
477,15.9
481,16.033333
485,16.166667
490,16.333333
492,16.4
495,16.5
502,16.733333
504,16.8
513,17.1
521,17.366667
523,17.433333
526,17.533333
531,17.7
533,17.766667
535,17.833333
539,17.966667
546,18.2
548,18.266667
553,18.433333
558,18.6
562,18.733333
564,18.8
566,18.866667
571,19.033333
576,19.2
579,19.3
584,19.466667
589,19.633333
598,19.933333
602,20.066667
607,20.233333
612,20.4
614,20.466667
616,20.533333
620,20.666667
627,20.9
629,20.966667
634,21.133333
642,21.4
647,21.566667
660,22.0
665,22.166667
670,22.333333
672,22.4
674,22.466667
679,22.633333
687,22.9
697,23.233333
705,23.5
710,23.666667
715,23.833333
720,24.0
724,24.133333
730,24.333333
737,24.566667
750,25.0
755,25.166667
767,25.566667
773,25.766667
778,25.933333
780,26.0
782,26.066667
786,26.2
791,26.366667
795,26.5
800,26.666667
811,27.033333
816,27.2
821,27.366667
826,27.533333
828,27.6
834,27.8
844,28.133333
847,28.233333
854,28.466667
856,28.533333
866,28.866667
874,29.133333
887,29.566667
892,29.733333
897,29.9
901,30.033333
906,30.2
910,30.333333
915,30.5
917,30.566667
920,30.666667
922,30.733333
930,31.0
933,31.1
935,31.166667
937,31.233333
942,31.4
950,31.666667
955,31.833333
960,32.0
963,32.1
969,32.3
977,32.566667
979,32.633333
981,32.7
987,32.9
991,33.033333
995,33.166667
997,33.233333
1004,33.466667
1013,33.766667
1015,33.833333
1018,33.933333
1023,34.1
1025,34.166667
1028,34.266667
1031,34.366667
1035,34.5
1040,34.666667
1045,34.833333
1053,35.1
1056,35.2
1058,35.266667
1063,35.433333
1066,35.533333
1069,35.633333
1072,35.733333
1074,35.8
1077,35.9
1079,35.966667
1081,36.033333
1085,36.166667
1087,36.233333
1090,36.333333
1094,36.466667
1099,36.633333
1101,36.7
1103,36.766667
1108,36.933333
1112,37.066667
1117,37.233333
1121,37.366667
1126,37.533333
1129,37.633333
1133,37.766667
1135,37.833333
1139,37.966667
1144,38.133333
1151,38.366667
1157,38.566667
1162,38.733333
1167,38.9
1170,39.0
1175,39.166667
1180,39.333333
1184,39.466667
1188,39.6
1192,39.733333
1195,39.833333
1197,39.9
1200,40.0
1205,40.166667
1209,40.3
1215,40.5
1218,40.6
1223,40.766667
1226,40.866667
1231,41.033333
1236,41.2
1238,41.266667
1241,41.366667
1245,41.5
1250,41.666667
1254,41.8
1257,41.9
1259,41.966667
1261,42.033333
1264,42.133333
1267,42.233333
1271,42.366667
1277,42.566667
1282,42.733333
1286,42.866667
1290,43.0
1292,43.066667
1294,43.133333
1297,43.233333
1300,43.333333
1304,43.466667
1306,43.533333
1308,43.6
1312,43.733333
1314,43.8
1317,43.9
1322,44.066667
1326,44.2
1330,44.333333
1335,44.5
1340,44.666667
1344,44.8
1349,44.966667
1354,45.133333
1357,45.233333
1362,45.4
1364,45.466667
1366,45.533333
1371,45.7
1376,45.866667
1380,46.0
1384,46.133333
1389,46.3
1399,46.633333
1402,46.733333
1407,46.9
1416,47.2
1420,47.333333
1424,47.466667
1427,47.566667
1429,47.633333
1433,47.766667
1444,48.133333
1447,48.233333
1452,48.4
1457,48.566667
1461,48.7
1465,48.833333
1470,49.0
1474,49.133333
1478,49.266667
1483,49.433333
1488,49.6
1492,49.733333
1498,49.933333
1500,50.0
1505,50.166667
1508,50.266667
1510,50.333333
1515,50.5
1518,50.6
1523,50.766667
1528,50.933333
1538,51.266667
1540,51.333333
1542,51.4
1550,51.666667
1555,51.833333
1560,52.0
1568,52.266667
1573,52.433333
1585,52.833333
1589,52.966667
1593,53.1
1596,53.2
1601,53.366667
1607,53.566667
1612,53.733333
1616,53.866667
1629,54.3
1634,54.466667
1652,55.066667
1665,55.5
1670,55.666667
1674,55.8
1679,55.966667
1688,56.266667
1701,56.7
1706,56.866667
1719,57.3
1731,57.7
1737,57.9
1747,58.233333
1751,58.366667
1759,58.633333
1764,58.8
1768,58.933333
1773,59.1
1786,59.533333
1791,59.7
1800,60.0
1804,60.133333
1814,60.466667
1816,60.533333
1818,60.6
1831,61.033333
1836,61.2
1844,61.466667
1849,61.633333
1854,61.8
1858,61.933333
1863,62.1
1867,62.233333
1872,62.4
1874,62.466667
1877,62.566667
1879,62.633333
1881,62.7
1894,63.133333
1899,63.3
1912,63.733333
1921,64.033333
1930,64.333333
1935,64.5
1940,64.666667
1942,64.733333
1945,64.833333
1948,64.933333
1951,65.033333
1957,65.233333
1960,65.333333
1968,65.6
1970,65.666667
1973,65.766667
1978,65.933333
1982,66.066667
1988,66.266667
1991,66.366667
1996,66.533333
1998,66.6
2000,66.666667
2005,66.833333
2011,67.033333
2014,67.133333
2018,67.266667
2023,67.433333
2026,67.533333
2031,67.7
2036,67.866667
2041,68.033333
2045,68.166667
2050,68.333333
2054,68.466667
2058,68.6
2061,68.7
2064,68.8
2069,68.966667
2072,69.066667
2075,69.166667
2077,69.233333
2081,69.366667
2084,69.466667
2086,69.533333
2089,69.633333
2094,69.8
2099,69.966667
2104,70.133333
2108,70.266667
2112,70.4
2117,70.566667
2122,70.733333
2124,70.8
2126,70.866667
2131,71.033333
2136,71.2
2139,71.3
2144,71.466667
2149,71.633333
2152,71.733333
2157,71.9
2159,71.966667
2162,72.066667
2166,72.2
2171,72.366667
2175,72.5
2179,72.633333
2182,72.733333
2184,72.8
2188,72.933333
2190,73.0
2195,73.166667
2198,73.266667
2202,73.4
2215,73.833333
2220,74.0
2225,74.166667
2227,74.233333
2229,74.3
2233,74.433333
2235,74.5
2237,74.566667
2243,74.766667
2245,74.833333
2247,74.9
2256,75.2
2260,75.333333
2265,75.5
2268,75.6
2270,75.666667
2273,75.766667
2278,75.933333
2283,76.1
2288,76.266667
2292,76.4
2300,76.666667
2303,76.766667
2305,76.833333
2310,77.0
2313,77.1
2315,77.166667
2319,77.3
2323,77.433333
2328,77.6
2341,78.033333
2344,78.133333
2351,78.366667
2353,78.433333
2357,78.566667
2362,78.733333
2369,78.966667
2372,79.066667
2379,79.3
2384,79.466667
2389,79.633333
2396,79.866667
2399,79.966667
2401,80.033333
2409,80.3
2416,80.533333
2420,80.666667
2425,80.833333
2429,80.966667
2435,81.166667
2440,81.333333
2447,81.566667
2452,81.733333
2465,82.166667
2474,82.466667
2478,82.6
2495,83.166667
2501,83.366667
2506,83.533333
2511,83.7
2513,83.766667
2521,84.033333
2524,84.133333
2528,84.266667
2535,84.5
2537,84.566667
2542,84.733333
2544,84.8
2546,84.866667
2550,85.0
2555,85.166667
2560,85.333333
2564,85.466667
2568,85.6
2575,85.833333
2577,85.9
2582,86.066667
2595,86.5
2602,86.733333
2604,86.8
2626,87.533333
2634,87.8
2647,88.233333
2654,88.466667
2665,88.833333
2667,88.9
2672,89.066667
2685,89.5
2694,89.8
2696,89.866667
2699,89.966667
2704,90.133333
2712,90.4
2716,90.533333
2721,90.7
2731,91.033333
2739,91.3
2741,91.366667
2744,91.466667
2749,91.633333
2758,91.933333
2763,92.1
2765,92.166667
2767,92.233333
2770,92.333333
2781,92.7
2784,92.8
2788,92.933333
2791,93.033333
2796,93.2
2799,93.3
2807,93.566667
2811,93.7
2815,93.833333
2817,93.9
2823,94.1
2825,94.166667
2830,94.333333
2832,94.4
2834,94.466667
2837,94.566667
2839,94.633333
2842,94.733333
2845,94.833333
