filename,scenario,user,device_model,backlight_level,script_speed_ms,jitter_ms,notes
auto_100ms_laptopA_run01.mp4,automated,NA,asus,medium,100,0,AE/AF locked
human_user01_laptopA_run01.mp4,human,user01,asus,medium,NA,NA,AE/AF locked
