frame,time_s,brightness
0,0.0,34.51494983006959
1,0.03333333333333333,34.509177590764416
2,0.06666666666666667,34.48411510312708
3,0.1,34.5116636097175
4,0.13333333333333333,34.4330101059143
5,0.16666666666666666,34.54848411285537
6,0.2,34.55714921508335
7,0.23333333333333334,34.45701390012767
8,0.26666666666666666,34.3098015680351
9,0.3,34.50391334448221
10,0.3333333333333333,34.4750499001996
11,0.36666666666666664,34.77441063818309
12,0.4,34.80549936163709
13,0.43333333333333335,34.7975467982953
14,0.4666666666666667,34.665351728974485
15,0.5,34.742004729280175
16,0.5333333333333333,34.854648810487134
17,0.5666666666666667,35.10595475715236
18,0.6,35.740912319505135
19,0.6333333333333333,35.921492600384816
20,0.6666666666666666,36.50254221287155
21,0.7,36.47389230547913
22,0.7333333333333333,36.29684774594954
23,0.7666666666666667,36.232881084677494
24,0.8,35.86974699250148
25,0.8333333333333334,35.89233919548291
26,0.8666666666666667,35.82365674057291
27,0.9,35.91789843735952
28,0.9333333333333333,35.864723256190324
29,0.9666666666666667,35.835992429555304
30,1.0,35.76102749456043
31,1.0333333333333334,35.80816969664275
32,1.0666666666666667,35.76537465609322
33,1.1,35.77920060779342
34,1.1333333333333333,35.7682427936919
35,1.1666666666666667,35.85322598047149
36,1.2,35.683122493751235
37,1.2333333333333334,35.840409271546996
38,1.2666666666666666,35.82572242901584
39,1.3,35.79739395083706
40,1.3333333333333333,35.86357914801029
41,1.3666666666666667,35.9804063045081
42,1.4,35.87201048353743
43,1.4333333333333333,35.92356503209797
44,1.4666666666666666,35.85501744259229
45,1.5,35.887164859470246
46,1.5333333333333334,36.00394031756307
47,1.5666666666666667,35.948807340274406
48,1.6,36.04209374044704
49,1.6333333333333333,36.11084587581593
50,1.6666666666666667,36.21179263095431
51,1.7,36.35089505673338
52,1.7333333333333334,36.27275179370988
53,1.7666666666666666,36.00450900001798
54,1.8,35.89728650806495
55,1.8333333333333333,35.74627321932711
56,1.8666666666666667,35.877252252252255
57,1.9,35.77070633507759
58,1.9333333333333333,36.009856413299524
59,1.9666666666666666,36.47552192911474
60,2.0,36.55406079732427
61,2.033333333333333,36.59439004873136
