frame,time_s,brightness
0,0.0,28.831481940884075
1,0.03333333333333333,28.859050690482096
2,0.06666666666666667,28.712361145566305
3,0.1,28.795037533191838
4,0.13333333333333333,28.954305521100363
5,0.16666666666666666,28.92673217747641
6,0.2,28.952229021380596
7,0.23333333333333334,28.78443911537437
8,0.26666666666666666,28.73999880555326
9,0.3,28.775407260398577
10,0.3333333333333333,28.696769021564357
11,0.36666666666666664,28.724101178827052
12,0.4,28.695280557163464
13,0.43333333333333335,28.70457427161719
14,0.4666666666666667,28.684270974025377
15,0.5,28.694086110422006
16,0.5333333333333333,28.652183999926496
17,0.5666666666666667,28.774568850666594
18,0.6,28.663035089170045
19,0.6333333333333333,28.808550860461057
20,0.6666666666666666,28.742748330071574
21,0.7,28.81965462113068
22,0.7333333333333333,28.804034932973163
23,0.7666666666666667,28.848098532668118
24,0.8,28.764372410117883
25,0.8333333333333334,28.76221781195733
26,0.8666666666666667,28.726255776987607
27,0.9,28.79385916554113
28,0.9333333333333333,28.7523383591977
29,0.9666666666666667,28.742759815136395
30,1.0,28.86053915488299
31,1.0333333333333334,28.796344533568547
32,1.0666666666666667,28.869800711155214
33,1.1,28.732420959783898
34,1.1333333333333333,28.77327103834174
35,1.1666666666666667,28.66254123138271
36,1.2,28.74376131278885
37,1.2333333333333334,28.74359363084245
38,1.2666666666666666,28.78713351158154
39,1.3,28.77668899363268
40,1.3333333333333333,28.912040482556485
41,1.3666666666666667,28.88703060540074
42,1.4,28.79939956081112
43,1.4333333333333333,28.689556400856326
44,1.4666666666666666,28.78663735678124
45,1.5,28.651515569153872
46,1.5333333333333334,28.784645846541157
47,1.5666666666666667,28.669416191184983
48,1.6,28.702483989819637
49,1.6333333333333333,28.599240148111395
50,1.6666666666666667,28.720405284967427
51,1.7,28.76188933910343
52,1.7333333333333334,28.63511719360144
53,1.7666666666666666,28.610610362284884
54,1.8,28.79642033499637
55,1.8333333333333333,28.771812435109382
56,1.8666666666666667,28.917677352370976
57,1.9,29.53191240111359
58,1.9333333333333333,29.39186352067771
59,1.9666666666666666,29.186659867508293
60,2.0,29.140928636401224
61,2.033333333333333,29.120731001405773
62,2.066666666666667,28.985797568841477
63,2.1,28.94743745233698
64,2.1333333333333333,28.974075911684444
65,2.1666666666666665,28.860791826309068
66,2.2,29.007309095252534
67,2.2333333333333334,28.92320855958911
68,2.2666666666666666,29.62971461910931
69,2.3,29.414332901494895
70,2.3333333333333335,29.2968498764207
71,2.3666666666666667,29.13175206960868
72,2.4,29.236447623510387
73,2.433333333333333,29.136114097227964
74,2.466666666666667,29.073814511609104
75,2.5,29.13810560746805
76,2.533333333333333,29.127858632634123
77,2.566666666666667,29.074244053033436
78,2.6,29.1358476437241
79,2.6333333333333333,29.035369405624927
80,2.6666666666666665,29.068873636722806
81,2.7,29.378414509771492
82,2.7333333333333334,29.366329924566095
83,2.7666666666666666,29.24066034528699
84,2.8,29.28041934268677
85,2.8333333333333335,29.257251669928426
86,2.8666666666666667,29.199996324779256
87,2.9,29.184698218436743
88,2.933333333333333,29.257214917720997
89,2.966666666666667,29.111271902018615
90,3.0,29.07832125104514
91,3.033333333333333,29.021642456150023
92,3.066666666666667,28.835402942014206
93,3.1,28.531786065400553
94,3.1333333333333333,28.345663698925918
95,3.1666666666666665,28.364212078612972
96,3.2,28.31613100324338
97,3.2333333333333334,28.682908845337522
98,3.2666666666666666,28.72523590323144
99,3.3,28.534910003032056
100,3.3333333333333335,28.665116182915735
101,3.3666666666666667,27.658135560517103
102,3.4,26.629526264046234
103,3.433333333333333,27.065464869483723
104,3.466666666666667,27.554342732710385
105,3.5,28.262309692475906
106,3.533333333333333,28.683170704815456
107,3.566666666666667,29.00140117790825
108,3.6,29.03768938871891
109,3.6333333333333333,29.197148028703474
110,3.6666666666666665,29.345824489833422
111,3.7,29.61748532208716
112,3.7333333333333334,29.59802962227919
113,3.7666666666666666,29.45444334187822
114,3.8,29.17021325468361
115,3.8333333333333335,29.057758390988358
116,3.8666666666666667,28.709600135983166
117,3.9,28.441051756296112
118,3.933333333333333,28.129436680540625
119,3.966666666666667,27.92913025901118
120,4.0,27.83656063654823
121,4.033333333333333,28.016104357892996
122,4.066666666666666,28.0851778347437
123,4.1,28.140113196798882
124,4.133333333333334,28.32745757417055
125,4.166666666666667,28.529622279188143
126,4.2,28.745768902119682
127,4.233333333333333,28.668198774313883
128,4.266666666666667,28.222281944559295
129,4.3,27.987001203634794
130,4.333333333333333,27.526114740391595
131,4.366666666666666,27.590401242224612
132,4.4,27.818205205950182
133,4.433333333333334,27.69904995543795
134,4.466666666666667,27.553736321287797
135,4.5,27.738441430763434
136,4.533333333333333,27.708637687551107
137,4.566666666666666,27.629585986383308
138,4.6,27.59134301753999
139,4.633333333333334,27.544943355660298
140,4.666666666666667,27.37558688681239
141,4.7,27.375405422788205
142,4.733333333333333,27.753500647757654
143,4.766666666666667,28.148306642042687
144,4.8,28.261937576375683
145,4.833333333333333,28.223180076628353
146,4.866666666666666,28.069799332947436
147,4.9,28.275542784163473
148,4.933333333333334,28.18853652710016
149,4.966666666666667,28.282553267730645
150,5.0,28.34757481371225
151,5.033333333333333,28.34144178909746
152,5.066666666666666,28.483273151593668
153,5.1,28.365204388213566
154,5.133333333333334,28.339753484568668
155,5.166666666666667,28.375832667199575
156,5.2,28.583438995929694
157,5.233333333333333,28.60922066944146
158,5.266666666666667,28.739144316730524
159,5.3,28.732214228617106
160,5.333333333333333,28.71511526411055
161,5.366666666666666,28.86443948289644
162,5.4,28.743324880325623
